"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"J","1039"," 697"," 812"," 645"," 1129"," 0.76"," 0.85"," -0.50"," -3.80"," -7.00"," -3.00"
"J","1040"," 693"," 816"," 645"," 1126"," -1.25"," 0.67"," 0.31"," -4.01"," -6.70"," -4.88"
"J","1038"," 693"," 816"," 645"," 1131"," -8.34"," -1.84"," 0.05"," -1.74"," -3.77"," 9.03"
"J","1036"," 694"," 817"," 650"," 1131"," -0.24"," -0.57"," -0.48"," -6.49"," 3.04"," 5.39"
"J","1037"," 698"," 817"," 639"," 1130"," 2.88"," 2.41"," 2.23"," -5.27"," -1.96"," 8.37"
"J","1040"," 699"," 816"," 637"," 1130"," -6.65"," -4.04"," -3.66"," -5.05"," 0.73"," 8.52"
"J","1040"," 699"," 817"," 651"," 1130"," 4.24"," 0.81"," 1.18"," -6.79"," 5.64"," 8.12"
"J","999"," 685"," 820"," 647"," 1127"," 4.99"," 1.34"," 3.34"," -4.57"," -5.96"," 5.68"
"J","1020"," 694"," 823"," 656"," 1129"," 8.73"," -0.08"," 4.68"," -2.80"," -6.05"," 3.34"
"J","1035"," 699"," 827"," 656"," 1131"," 6.29"," -0.51"," 2.31"," -4.54"," -7.45"," 0.18"
"J","1034"," 695"," 825"," 652"," 1133"," 2.35"," -0.09"," 0.31"," -4.30"," -9.94"," 3.17"
"J","1038"," 701"," 827"," 652"," 1135"," 1.53"," 0.55"," 0.37"," -4.85"," -7.79"," -0.19"
"J","1035"," 701"," 828"," 654"," 1133"," 2.75"," 0.37"," 1.17"," -3.42"," -8.48"," -1.76"
"J","1040"," 703"," 830"," 653"," 1131"," 2.52"," 0.63"," 0.96"," -4.69"," -6.97"," -1.49"
"J","1046"," 700"," 832"," 656"," 1136"," -2.95"," -0.58"," 0.62"," -2.33"," -9.35"," -5.10"
"J","1051"," 702"," 818"," 643"," 1129"," -7.63"," 1.24"," 0.90"," -3.56"," -11.04"," -3.06"
"J","1040"," 688"," 835"," 650"," 1133"," -3.19"," -0.87"," 0.41"," -0.16"," -14.17"," -4.51"
"J","1045"," 694"," 839"," 651"," 1134"," -1.83"," 0.10"," 1.14"," -1.98"," -7.52"," 2.28"
"J","1057"," 688"," 839"," 657"," 1137"," -4.36"," 0.29"," 1.12"," -2.02"," -10.30"," 4.58"
"J","1008"," 677"," 842"," 652"," 1142"," -8.73"," -2.27"," -1.91"," 0.65"," -8.79"," 5.88"
"J","1040"," 694"," 834"," 643"," 1137"," -8.00"," -2.24"," -0.62"," 0.96"," -17.04"," 0.49"
"J","1041"," 693"," 837"," 649"," 1142"," -5.09"," -0.33"," 1.58"," -1.05"," -14.43"," 3.49"
"J","1040"," 687"," 843"," 656"," 1142"," -5.54"," 0.76"," 2.14"," -2.42"," -8.82"," 4.86"
"J","1051"," 691"," 848"," 656"," 1139"," -2.89"," 0.57"," 1.99"," -1.62"," -10.25"," 3.00"
"J","1041"," 688"," 846"," 659"," 1141"," -6.73"," -0.88"," 2.08"," -0.94"," -9.82"," 5.45"
"J","1023"," 683"," 844"," 667"," 1142"," -7.04"," -2.55"," -0.60"," -0.91"," -12.28"," 7.13"
"J","1043"," 692"," 848"," 667"," 1148"," -1.26"," -3.78"," -1.60"," -4.51"," -0.95"," 7.44"
"J","1051"," 691"," 850"," 672"," 1149"," -0.58"," -1.16"," -1.01"," -7.64"," -0.56"," 6.05"
"J","1063"," 689"," 844"," 671"," 1151"," -0.73"," -5.46"," -1.60"," -8.03"," -0.65"," 6.43"
"J","1066"," 684"," 844"," 661"," 1149"," -0.10"," -4.35"," -1.25"," -5.42"," -0.12"," 7.40"
"J","1062"," 688"," 851"," 673"," 1152"," -0.82"," -4.15"," -0.98"," -7.84"," -0.29"," 6.74"
"J","1053"," 688"," 854"," 676"," 1152"," -0.77"," -2.79"," -0.54"," -6.67"," -2.47"," 7.56"
"J","1040"," 674"," 857"," 672"," 1154"," 0.45"," -0.85"," -0.48"," -7.10"," -0.48"," 4.26"
"J","1056"," 688"," 861"," 681"," 1155"," 0.18"," -2.51"," -1.03"," -7.34"," 0.84"," 2.72"
"J","1053"," 688"," 851"," 674"," 1155"," -3.66"," -4.13"," -1.60"," -5.60"," -0.12"," 8.11"
"J","1065"," 693"," 860"," 673"," 1150"," -8.73"," -4.48"," -2.28"," -0.77"," -4.81"," 3.43"
"J","1063"," 689"," 859"," 659"," 1147"," -8.73"," -2.21"," -0.74"," -0.28"," -16.55"," -2.99"
"J","1057"," 682"," 860"," 663"," 1145"," -4.10"," -1.47"," 0.95"," 0.74"," -17.40"," -3.96"
"J","1056"," 696"," 863"," 672"," 1153"," -5.90"," -5.34"," -0.91"," -5.39"," 0.35"," 11.00"
"J","1062"," 695"," 870"," 678"," 1152"," 1.53"," -1.46"," -0.09"," -8.57"," -0.33"," 3.56"
"J","1072"," 701"," 868"," 677"," 1151"," 0.22"," -0.00"," -0.16"," -8.81"," -1.00"," 2.55"
"J","1071"," 699"," 859"," 669"," 1152"," 1.35"," 0.04"," 0.26"," -8.48"," -0.29"," 1.76"
"J","1060"," 698"," 809"," 592"," 1125"," 2.52"," 1.41"," 1.93"," -6.51"," -4.04"," 3.93"
"J","1011"," 688"," 787"," 619"," 1097"," 8.24"," 0.79"," 0.31"," -1.30"," -12.14"," -1.74"
"J","1038"," 695"," 821"," 633"," 1132"," 4.81"," 0.34"," 1.36"," -3.56"," -10.52"," -4.63"
"J","1040"," 695"," 840"," 658"," 1137"," 7.04"," -0.22"," 2.46"," -4.33"," -7.79"," -1.33"
"J","1045"," 693"," 849"," 673"," 1147"," 3.36"," -0.04"," 1.52"," -5.69"," -7.17"," 0.55"
"J","1041"," 688"," 848"," 666"," 1148"," 2.93"," 0.14"," 0.39"," -4.69"," -7.86"," -5.24"
"J","1020"," 687"," 848"," 665"," 1149"," -0.67"," 0.10"," 0.58"," -2.80"," -7.54"," -0.68"
"J","1010"," 690"," 851"," 672"," 1152"," 0.26"," -0.99"," 0.11"," -6.35"," 4.91"," 6.05"
"J","1023"," 697"," 836"," 656"," 1143"," 5.23"," 0.43"," 0.83"," -5.58"," -11.99"," -3.23"
"J","1018"," 688"," 768"," 620"," 1099"," 0.24"," 0.11"," 0.45"," -3.86"," -5.16"," -2.32"
"J","1011"," 686"," 785"," 640"," 1125"," -6.69"," 1.84"," 1.29"," -3.69"," -9.70"," 6.85"
"J","991"," 666"," 800"," 656"," 1136"," -5.88"," -1.76"," 1.29"," 0.56"," 2.36"," 12.55"
"J","1015"," 678"," 807"," 653"," 1136"," -1.18"," -2.20"," -2.04"," -4.49"," 1.58"," 7.64"
"J","1039"," 687"," 811"," 662"," 1136"," 1.00"," -0.27"," -1.81"," -5.26"," 4.09"," 4.92"
"J","1039"," 690"," 816"," 665"," 1136"," 3.41"," -0.45"," 1.22"," -7.04"," 4.09"," 3.86"
"J","1040"," 688"," 816"," 661"," 1136"," 8.73"," -0.75"," 5.58"," -4.49"," 4.83"," 3.28"
"J","1042"," 691"," 817"," 655"," 1125"," 1.96"," -0.56"," 1.20"," -7.14"," 3.35"," 6.07"
"J","1042"," 688"," 829"," 662"," 1123"," 7.44"," 0.14"," 1.55"," -3.99"," -12.50"," -0.40"
"J","1033"," 688"," 830"," 659"," 1122"," 0.27"," 0.27"," -0.08"," -3.83"," -7.16"," -3.87"
"J","1037"," 686"," 833"," 666"," 1127"," -0.34"," 0.39"," 0.58"," -3.33"," -6.23"," -5.76"
"J","1043"," 683"," 833"," 668"," 1140"," -1.57"," 1.33"," 1.89"," -3.61"," -8.02"," -3.25"
"J","1046"," 688"," 839"," 667"," 1146"," -6.81"," 1.42"," 2.55"," 0.29"," -10.23"," 4.27"
"J","1051"," 688"," 832"," 670"," 1146"," -0.09"," -3.30"," -0.35"," -2.14"," 5.13"," 7.70"
"J","1041"," 684"," 836"," 669"," 1141"," 6.68"," 2.34"," 1.83"," -6.97"," 0.96"," 10.13"
"J","1056"," 691"," 838"," 671"," 1133"," 3.77"," 0.14"," -0.24"," -2.94"," -11.56"," -6.16"
"J","1040"," 687"," 846"," 676"," 1142"," 0.87"," 0.41"," -0.51"," -2.61"," -8.71"," -4.57"
"J","1051"," 688"," 848"," 675"," 1139"," 0.48"," 0.35"," -0.14"," -4.02"," -8.45"," -4.18"
"J","1051"," 690"," 849"," 683"," 1139"," 4.44"," -0.05"," 0.68"," -3.31"," -8.51"," -4.10"
"J","1053"," 695"," 850"," 683"," 1138"," 3.72"," -0.12"," 0.82"," -3.85"," -7.04"," -1.81"
"J","1054"," 691"," 848"," 674"," 1140"," 3.10"," 0.14"," 1.63"," -2.45"," -7.12"," -2.11"
"J","1061"," 698"," 851"," 676"," 1134"," -1.46"," 0.21"," 1.37"," -2.91"," -10.30"," -1.26"
"J","1058"," 693"," 849"," 667"," 1136"," -6.22"," -1.04"," -0.23"," 0.65"," -12.13"," 3.41"
"J","1063"," 690"," 855"," 663"," 1135"," -5.18"," -4.35"," -1.55"," 0.28"," -6.31"," 6.68"
"J","1060"," 694"," 849"," 667"," 1136"," -3.04"," -2.21"," -1.50"," -4.74"," 0.22"," 7.92"
"J","1068"," 699"," 849"," 679"," 1134"," -0.28"," -1.55"," -1.14"," -6.00"," 4.36"," 6.52"
"J","1067"," 697"," 854"," 677"," 1136"," 1.63"," 0.35"," 0.41"," -6.07"," 2.26"," 7.45"
"J","1065"," 694"," 845"," 686"," 1143"," 4.24"," 1.00"," 1.80"," -6.43"," 0.93"," 8.31"
"J","1071"," 689"," 850"," 686"," 1137"," 4.03"," 0.41"," 0.45"," -4.87"," -4.52"," 6.21"
"J","1068"," 687"," 849"," 679"," 1139"," 2.97"," -0.12"," 0.72"," -1.99"," -4.58"," -2.12"
"J","1075"," 691"," 853"," 681"," 1136"," -0.25"," -0.08"," 1.52"," -2.85"," -9.72"," -1.61"
"J","1079"," 691"," 857"," 686"," 1145"," -4.30"," -1.75"," -0.75"," 0.68"," -10.59"," 6.61"
"J","1078"," 689"," 855"," 688"," 1146"," -2.21"," -1.28"," -1.95"," -2.56"," 5.54"," 6.13"
"J","1063"," 697"," 852"," 685"," 1149"," 0.48"," 0.36"," -1.18"," -4.19"," 1.07"," 6.25"
"J","1068"," 694"," 855"," 677"," 1149"," -0.55"," 0.13"," -0.15"," -6.00"," 2.32"," 3.04"
"J","1059"," 691"," 848"," 683"," 1138"," 4.31"," 0.87"," 1.62"," -4.61"," -4.83"," 5.61"
"J","1041"," 686"," 848"," 678"," 1142"," 0.26"," 0.08"," 0.39"," -1.51"," -6.30"," -4.08"
"J","1019"," 684"," 848"," 682"," 1153"," -0.43"," 0.76"," 0.74"," -4.09"," -6.36"," -2.37"
"J","1044"," 691"," 855"," 688"," 1149"," -1.02"," 0.07"," 2.11"," -3.43"," -12.79"," -5.26"
"J","1045"," 686"," 843"," 662"," 1145"," -7.40"," -3.20"," -0.87"," -1.19"," -8.01"," 10.01"
"J","1051"," 687"," 845"," 679"," 1141"," -3.46"," 1.86"," 1.77"," -2.93"," -11.58"," 2.33"
"J","1051"," 693"," 853"," 688"," 1137"," -4.93"," 0.81"," 2.38"," -4.62"," -14.41"," -3.28"
"J","1041"," 682"," 848"," 682"," 1149"," -3.87"," -0.66"," 0.41"," -3.16"," -1.60"," 8.59"
"J","1050"," 687"," 849"," 691"," 1147"," 0.71"," -1.76"," -0.40"," -3.03"," 2.61"," 7.25"
