"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"W","946"," 1023"," 1203"," 995"," 606"," 0.09"," 0.06"," -0.03"," -6.93"," -3.45"," -4.84"
"W","930"," 1013"," 1216"," 1001"," 597"," -0.04"," 0.09"," 0.02"," -6.78"," -3.96"," -4.92"
"W","932"," 1014"," 1246"," 1037"," 592"," 0.02"," 0.22"," -0.03"," -7.16"," -5.25"," -4.77"
"W","922"," 1013"," 1248"," 1018"," 591"," 0.66"," -0.24"," 0.14"," -6.85"," -5.20"," -3.84"
"W","912"," 1013"," 1248"," 1015"," 604"," -2.66"," 0.19"," -0.15"," -7.33"," -6.22"," -2.72"
"W","885"," 1010"," 1248"," 1007"," 603"," -0.35"," 0.62"," -0.22"," -6.18"," -3.94"," -6.62"
"W","911"," 1009"," 1245"," 1007"," 593"," 0.57"," 0.45"," -0.40"," -8.24"," -3.95"," -5.70"
"W","912"," 1008"," 1246"," 1006"," 598"," -0.22"," 0.23"," 0.30"," -5.58"," -1.84"," -6.69"
"W","912"," 1008"," 1249"," 1005"," 598"," -0.26"," 0.59"," 0.35"," -6.01"," -2.31"," -6.68"
"W","935"," 1008"," 1249"," 1003"," 601"," 0.23"," -0.90"," -0.73"," -6.05"," -4.72"," -5.64"
"W","917"," 1009"," 1249"," 1002"," 602"," -0.24"," 0.59"," 0.68"," -5.97"," -5.82"," -4.27"
"W","938"," 1008"," 1247"," 996"," 605"," -0.17"," -0.54"," 0.72"," -7.07"," -4.30"," -6.06"
"W","937"," 1015"," 1247"," 1005"," 601"," 0.27"," -1.09"," 0.76"," -5.60"," -4.42"," -4.21"
"W","933"," 1034"," 1253"," 1023"," 592"," 0.24"," -0.30"," 0.09"," -7.60"," -3.95"," -1.39"
"W","918"," 1023"," 1252"," 1020"," 595"," 0.53"," -1.47"," -0.49"," -8.15"," -4.67"," -1.00"
"W","914"," 1018"," 1249"," 1007"," 590"," 0.20"," -0.67"," -0.37"," -5.78"," -3.56"," 0.36"
"W","915"," 1023"," 1253"," 1009"," 593"," 0.07"," -0.03"," 0.31"," -7.83"," -6.76"," -1.38"
"W","947"," 1023"," 1251"," 1016"," 592"," -0.92"," 1.32"," -0.22"," -8.22"," -0.34"," -5.82"
"W","939"," 1022"," 1250"," 1009"," 595"," 1.11"," -1.23"," -0.21"," -6.39"," -3.75"," -5.95"
"W","915"," 1012"," 1245"," 999"," 598"," -0.10"," -0.07"," -0.07"," -7.65"," -6.22"," -1.71"
"W","938"," 1014"," 1234"," 979"," 603"," -0.85"," 1.13"," 0.07"," -7.22"," -4.56"," -3.77"
"W","944"," 1017"," 1239"," 974"," 613"," -0.08"," -0.24"," 0.28"," -7.71"," -5.62"," -7.70"
"W","949"," 1020"," 1235"," 975"," 602"," 0.49"," -0.79"," 0.20"," -5.04"," -2.21"," -3.87"
