"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"Y","1232"," 571"," 761"," 615"," 1099"," -0.15"," -0.22"," 0.19"," -7.25"," -0.94"," -6.70"
"Y","1231"," 570"," 752"," 622"," 1069"," -0.07"," 0.92"," -0.29"," -7.79"," 0.14"," -4.21"
"Y","1232"," 570"," 752"," 623"," 1072"," 0.64"," 0.06"," -0.18"," -7.50"," -0.43"," -3.52"
"Y","1232"," 569"," 756"," 624"," 1071"," -0.00"," -0.33"," 0.13"," -7.70"," 0.87"," -3.94"
"Y","1227"," 567"," 764"," 622"," 1114"," -0.18"," 0.24"," 0.14"," -8.02"," -1.25"," -4.84"
"Y","1229"," 567"," 763"," 622"," 1110"," -0.02"," 0.00"," -0.03"," -7.77"," -0.54"," -5.28"
"Y","1220"," 566"," 752"," 604"," 1094"," -0.03"," -0.52"," 0.21"," -6.49"," -3.03"," -6.73"
"Y","1227"," 566"," 757"," 624"," 1105"," 0.12"," -0.02"," 0.08"," -8.18"," -1.47"," -4.49"
"Y","1231"," 566"," 752"," 621"," 1070"," -0.62"," 1.08"," -0.31"," -7.55"," 0.17"," -3.34"
"Y","1216"," 565"," 753"," 605"," 1098"," 0.26"," 0.54"," -0.19"," -5.89"," -3.14"," -6.55"
"Y","1232"," 565"," 757"," 614"," 1072"," 0.17"," -0.17"," -0.05"," -5.44"," -2.09"," -4.57"
"Y","1231"," 565"," 757"," 623"," 1104"," -0.06"," 0.03"," -0.29"," -8.20"," -1.04"," -4.67"
"Y","1231"," 565"," 764"," 619"," 1076"," -0.18"," -0.53"," 0.12"," -7.51"," -1.03"," -5.24"
"Y","1231"," 565"," 758"," 622"," 1059"," -0.01"," -0.02"," 0.03"," -7.76"," 0.02"," -5.09"
"Y","1233"," 565"," 753"," 622"," 1072"," -0.34"," -0.07"," 0.15"," -7.76"," -1.48"," -4.58"
"Y","1230"," 564"," 761"," 611"," 1060"," -0.21"," 0.55"," -0.07"," -5.38"," -2.42"," -5.57"
"Y","1232"," 564"," 755"," 614"," 1077"," -0.11"," 0.27"," 0.02"," -6.01"," -2.58"," -5.32"
"Y","1228"," 564"," 763"," 623"," 1103"," 0.04"," 0.10"," 0.41"," -7.95"," -1.23"," -5.11"
"Y","1232"," 564"," 760"," 623"," 1106"," 0.19"," 0.17"," 0.58"," -7.60"," -0.56"," -5.05"
