"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"A","1163"," 559"," 805"," 610"," 460"," -3.69"," 1.26"," -2.10"," -2.37"," -7.28"," -5.22"
"A","1155"," 559"," 800"," 611"," 457"," 7.29"," -1.23"," 1.75"," -2.48"," -8.32"," -1.24"
"A","1213"," 557"," 779"," 593"," 477"," -2.38"," -0.63"," 0.76"," -3.45"," -7.16"," -2.63"
"A","1202"," 557"," 751"," 589"," 544"," -0.01"," 0.01"," 0.01"," -6.39"," -1.67"," -6.59"
"A","1120"," 557"," 766"," 580"," 506"," 0.76"," -0.44"," -0.62"," 2.58"," -14.92"," 3.06"
"A","1229"," 556"," 736"," 560"," 461"," -0.24"," -0.23"," 0.12"," -5.02"," -2.76"," -8.37"
"A","1196"," 555"," 759"," 594"," 493"," -0.56"," -1.03"," 0.95"," 0.06"," -7.93"," -6.18"
"A","1200"," 553"," 750"," 592"," 485"," 0.83"," 0.06"," 0.18"," 1.81"," -7.41"," -4.92"
"A","1154"," 551"," 773"," 592"," 471"," 1.23"," -1.47"," -0.07"," -0.25"," -2.55"," 9.98"
"A","1162"," 551"," 784"," 598"," 464"," -0.05"," 1.30"," 0.51"," 2.25"," -6.71"," 14.93"
"A","1165"," 551"," 789"," 605"," 464"," -0.89"," 4.32"," 1.00"," -1.46"," -6.09"," 8.77"
"A","1115"," 550"," 807"," 609"," 511"," 5.43"," -0.87"," 1.93"," -5.43"," -9.40"," 2.05"
"A","1232"," 547"," 763"," 565"," 465"," -0.83"," 0.33"," -0.13"," -4.94"," -3.73"," -5.23"
"A","1221"," 545"," 747"," 572"," 475"," -0.02"," 0.01"," 0.01"," -6.70"," 0.60"," -6.42"
"A","1245"," 545"," 757"," 575"," 480"," 1.71"," 4.05"," -0.21"," 0.40"," -2.02"," -12.04"
"A","1190"," 542"," 741"," 541"," 473"," -1.99"," -0.12"," -0.05"," -5.28"," 0.01"," -7.73"
"A","1222"," 542"," 738"," 563"," 473"," -0.02"," -0.03"," 0.02"," -6.89"," 0.52"," -6.34"
"A","1221"," 542"," 745"," 566"," 477"," -0.03"," -0.01"," 0.01"," -6.84"," 0.57"," -6.41"
"A","1222"," 542"," 746"," 563"," 478"," -0.04"," -0.03"," 0.01"," -6.88"," 0.56"," -6.31"
"A","1236"," 542"," 742"," 576"," 479"," 0.18"," -0.33"," -0.11"," -4.26"," -1.96"," -8.12"
"A","1220"," 541"," 736"," 562"," 472"," -0.01"," -0.03"," 0.00"," -6.68"," 0.60"," -6.45"
"A","1223"," 541"," 740"," 563"," 476"," -0.01"," -0.03"," 0.01"," -6.77"," 0.64"," -6.44"
"A","1216"," 539"," 731"," 563"," 462"," -0.06"," -0.10"," 0.00"," -6.25"," 0.33"," -7.23"
"A","1219"," 539"," 734"," 560"," 469"," -0.03"," -0.05"," 0.02"," -6.56"," 0.65"," -6.55"
"A","1221"," 539"," 737"," 561"," 475"," -0.02"," -0.03"," 0.02"," -6.69"," 0.65"," -6.36"
"A","1215"," 538"," 736"," 565"," 466"," -0.04"," -0.40"," -0.03"," -5.76"," 0.96"," -7.13"
"A","1215"," 538"," 735"," 561"," 469"," -0.13"," -0.01"," 0.08"," -6.55"," 0.94"," -6.88"
"A","1201"," 538"," 759"," 588"," 478"," -0.04"," 0.69"," -1.36"," -2.12"," -9.82"," 0.17"
"A","1232"," 538"," 772"," 592"," 453"," 0.54"," 0.03"," 0.08"," -3.88"," -2.33"," -7.56"
"A","1206"," 535"," 733"," 587"," 506"," -0.16"," 0.02"," 0.03"," -6.27"," -2.04"," -6.13"
"A","1125"," 534"," 816"," 615"," 524"," -3.40"," 1.08"," -0.17"," -3.80"," -2.02"," 9.66"
"A","1185"," 533"," 779"," 596"," 468"," 6.00"," -0.54"," 0.46"," -1.24"," -3.36"," 4.26"
"A","1136"," 532"," 801"," 587"," 498"," -0.45"," -0.04"," -0.13"," -6.46"," -6.16"," -5.08"
"A","1089"," 531"," 749"," 569"," 461"," 0.29"," -0.36"," -0.28"," -4.99"," -3.36"," -7.30"
"A","1123"," 531"," 815"," 611"," 526"," -5.10"," 2.39"," -1.27"," -6.80"," -8.91"," -1.87"
"A","1213"," 530"," 715"," 557"," 462"," 0.12"," -0.64"," -0.06"," -5.70"," 1.35"," -6.67"
"A","1137"," 529"," 747"," 560"," 464"," 0.28"," -0.15"," 0.35"," -4.75"," -3.39"," -7.13"
"A","1058"," 528"," 768"," 597"," 470"," -1.57"," 3.18"," 1.75"," 1.36"," -2.34"," 5.89"
"A","1232"," 528"," 759"," 587"," 477"," -0.08"," -0.06"," -0.04"," -5.14"," -1.23"," -7.55"
"A","1089"," 528"," 727"," 576"," 464"," -0.01"," 0.29"," 0.09"," -2.26"," 1.00"," -6.36"
"A","1106"," 528"," 737"," 555"," 560"," -0.01"," -0.04"," 0.02"," -5.62"," -1.48"," -7.36"
